subject,name
"Fiscalização de estabelecimentos comerciais e industriais","Secretaria Municipal de Saúde"
"Prontuário médico","Secretaria Municipal de Saúde"
"Controle de vetores urbanos (ratos, mosquitos, baratas e etc)","Secretaria Municipal de Saúde"
"Falta de exames na unidade","Secretaria Municipal de Saúde"
"Abuso de Autoridade","Secretaria Municipal de Saúde"
"Maus tratos aos pacientes","Secretaria Municipal de Saúde"
"Atendimento à saúde mental","Secretaria Municipal de Saúde"
"Fila de espera para procedimentos","Secretaria Municipal de Saúde"
"Condições higiênico-sanitárias de bares, restaurantes e lanchonetes","Secretaria Municipal de Saúde"
"Extravio de pertences (celular, rádio, relógio, bolsa e etc)","Secretaria Municipal de Saúde"
Vacinação,"Secretaria Municipal de Saúde"
"Denúncia de clínicas, consultórios ou hospitais irregulares","Secretaria Municipal de Saúde"
"Banco de leite materno","Secretaria Municipal de Saúde"
Assédio,"Secretaria Municipal de Saúde"
"Irregularidades em alimentos e bebidas (validade, armazenamento, adulteração)","Secretaria Municipal de Saúde"
Outro,"Secretaria Municipal de Saúde"
"Tempo de atedimento com o psicólogo","Secretaria Municipal de Saúde"
"Projeto institucional de saúde","Secretaria Municipal de Saúde"
"Falta de médicos especialistas","Secretaria Municipal de Saúde"
"Criação de unidade de saúde","Secretaria Municipal de Saúde"
"Comercialização de produtos sem registro sanitário","Secretaria Municipal de Saúde"
"Falta de maqueiro na unidade","Secretaria Municipal de Saúde"
"Castração e controle populacional","Secretaria Municipal de Saúde"
"Limpeza urbana e retirada de entulho","Secretaria Municipal de Saúde"
"Fiscalização de medicamentos e produtos de saúde (farmácias, drogarias, clínicas)","Secretaria Municipal de Saúde"
"Condilçao insalubre","Secretaria Municipal de Saúde"
"Estacionamento irregular","Secretaria Municipal de Saúde"
"Campanhas de prevenção e conscientização","Secretaria Municipal de Saúde"
"Vigilância Sanitária","Secretaria Municipal de Saúde"
"Fila para procedimentos","Secretaria Municipal de Saúde"
"Fornecimento de próteses e órteses","Secretaria Municipal de Saúde"
"NEGLIGENCIA MÉDICA","Secretaria Municipal de Saúde"
"Uso e descarte irregular de agrotóxicos ou químicos","Secretaria Municipal de Saúde"
"Saúde da família (ESF)","Secretaria Municipal de Saúde"
"Furtos e roubos em áreas públicas","Secretaria Municipal de Segurança Pública"
"Estacionamento irregular","Secretaria Municipal de Segurança Pública"
"Bloqueio ou interdição de vias","Secretaria Municipal de Segurança Pública"
"Uso irregular de espaço público","Secretaria Municipal de Segurança Pública"
"Obstrução de via pública (móveis e fixas)","Secretaria Municipal de Segurança Pública"
"Segurança em áreas urbanas","Secretaria Municipal de Segurança Pública"
"Veículo abandonado","Secretaria Municipal de Segurança Pública"
"Multas de transito","Secretaria Municipal de Segurança Pública"
"Segurança pública","Secretaria Municipal de Segurança Pública"
"Prevenção de acidentes e campanhas educativas","Secretaria Municipal de Segurança Pública"
Assédio,"Secretaria Municipal de Segurança Pública"
"Monitoramento por câmeras","Secretaria Municipal de Segurança Pública"
"Sinalização de trânsito","Secretaria Municipal de Segurança Pública"
"Quebra molas","Secretaria Municipal de Segurança Pública"
"Ocupação irregular","Secretaria Municipal de Segurança Pública"
Atendimento,"Secretaria Municipal de Segurança Pública"
"Informação e Orientação pública","Secretaria Municipal de Segurança Pública"
"Limpeza urbana e retirada de entulho","Secretaria Municipal de Segurança Pública"
"Fiscalização de bares e casas noturnas","Secretaria Municipal de Segurança Pública"
"Guarda Municipal","Secretaria Municipal de Segurança Pública"
"Comércio irregular","Secretaria Municipal de Segurança Pública"
"Uso de drogas em via pública / flagrante de crime","Secretaria Municipal de Segurança Pública"
,"Secretaria Municipal de Segurança Pública"
"Poluição Ambiental (Ar, Solo, Água e Som)","Secretaria Municipal de Segurança Pública"
"Instalação de pontos de ônibus","Secretaria Municipal de Segurança Pública"
"Fiscalização legal de poluição sonora","Secretaria Municipal de Segurança Pública"
"Barreiras arquitetônicas em vias e calçadas","Secretaria Municipal de Segurança Pública"
Quebra-molas,"Secretaria Municipal de Segurança Pública"
"Asfaltamento e pavimentação","Secretaria Municipal de Segurança Pública"
"Conduta irregular de funcionário","Secretaria Municipal de Segurança Pública"
"Programa Tarifa Zero","Secretaria Municipal de Segurança Pública"
"Troca de lâmpadas","Secretaria Municipal de Transportes e Serviços Públicos"
Atendimento,"Secretaria Municipal de Transportes e Serviços Públicos"
"Instalação de pontos de ônibus","Secretaria Municipal de Transportes e Serviços Públicos"
"Fiscalização legal de poluição sonora","Secretaria Municipal de Transportes e Serviços Públicos"
"Transporte público urbano","Secretaria Municipal de Transportes e Serviços Públicos"
"Construção irregular","Secretaria Municipal de Urbanismo e Habitação"
"Fechamento ou interdição de imóveis irregulares","Secretaria Municipal de Urbanismo e Habitação"
"Propriedade abandonada (terreno, casa, galpão e prédio)","Secretaria Municipal de Urbanismo e Habitação"
"Conflitos de limites, confrontações e conflitos de vizinhança","Secretaria Municipal de Urbanismo e Habitação"
"Risco em construções irregulares","Secretaria Municipal de Urbanismo e Habitação"
"Obstrução de via pública (fixas)","Secretaria Municipal de Urbanismo e Habitação"
Atendimento,"Secretaria Municipal de Urbanismo e Habitação"
"Ocupação irregular de áreas públicas ou particulares","Secretaria Municipal de Urbanismo e Habitação"
"Conservação de calçadas e passeios públicos","Secretaria Municipal de Urbanismo e Habitação"
"Estrutura, limpeza e materiais das unidades de atendimento","Secretaria Municipal de Urbanismo e Habitação"
"Poluição Ambiental (Ar, Solo, Água e Som)","Secretaria Municipal de Urbanismo e Habitação"
"Averbação de alterações (construções, ampliações, mudança de uso)","Secretaria Municipal de Urbanismo e Habitação"
,"Secretaria Municipal de Urbanismo e Habitação"
"Não há dados","Secretaria Municipal de Urbanismo e Habitação"
"Barreiras arquitetônicas em vias e calçadas","Secretaria Municipal de Urbanismo e Habitação"
